"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"1","FC.112A1in2_concatenated","FC_112","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",8544874,8249150,5538,82,60,673,668,6958.33333333334,10,1.70116542204434,18,2.16757637316853,"Class",5.18786367414796
"2","FC.112A1in2_concatenated","FC_112","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",8544874,8249150,5538,82,60,673,668,6958.33333333334,10,1.70116542204434,18,2.16757637316853,"Mechanism",4.76776165011459
"3","FC.112A1in2_concatenated","FC_112","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",8544874,8249150,5538,82,60,673,668,6958.33333333334,10,1.70116542204434,18,2.16757637316853,"Group",10.2144026186579
"4","FC.112A1in2_concatenated","FC_112","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",8544874,8249150,5538,82,60,673,668,6958.33333333334,10,1.70116542204434,18,2.16757637316853,"Gene",16.1266149870801
"5","FC.112A_concatenated","FC_112","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",38190379,36762458,28728,0,0,100,96,1920,9,1.73778611339645,15,2.28047532675245,"Class",4.43567874911158
"6","FC.112A_concatenated","FC_112","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",38190379,36762458,28728,0,0,100,96,1920,9,1.73778611339645,15,2.28047532675245,"Mechanism",7.51022864019254
"7","FC.112A_concatenated","FC_112","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",38190379,36762458,28728,0,0,100,96,1920,9,1.73778611339645,15,2.28047532675245,"Group",14.5477855477855
"8","FC.112A_concatenated","FC_112","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store6","WholeFoods",38190379,36762458,28728,0,0,100,96,1920,9,1.73778611339645,15,2.28047532675245,"Gene",18.9696048632219
"9","FC.113A1in2_concatenated","FC_113","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store2","RWAGrocers",49990544,48466450,172974,3801,2151,3777,3777,96846.1538461541,7,0.765861333505106,12,0.80130285237414,"Class",2.0495894909688
"10","FC.113A1in2_concatenated","FC_113","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store2","RWAGrocers",49990544,48466450,172974,3801,2151,3777,3777,96846.1538461541,7,0.765861333505106,12,0.80130285237414,"Mechanism",2.09499832158442
